('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=1, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='results1', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 12678.5283907 Time: 0.403156995773
Epoch: 0, Mini-batch: 1 of 45 - Energy: 12967.556543 Time: 0.350083112717
Epoch: 0, Mini-batch: 2 of 45 - Energy: 12804.9211527 Time: 0.365128993988
Epoch: 0, Mini-batch: 3 of 45 - Energy: 13396.7029551 Time: 0.350168943405
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13201.5326403 Time: 0.347455978394
Epoch: 0, Mini-batch: 5 of 45 - Energy: 13206.742045 Time: 0.333180904388
Epoch: 0, Mini-batch: 6 of 45 - Energy: 12735.3484456 Time: 0.335867166519
Epoch: 0, Mini-batch: 7 of 45 - Energy: 12757.9465802 Time: 0.335880994797
Epoch: 0, Mini-batch: 8 of 45 - Energy: 12788.0754733 Time: 0.334176063538
Epoch: 0, Mini-batch: 9 of 45 - Energy: 13203.1200376 Time: 0.350898981094
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12769.4781965 Time: 0.421083927155
Epoch: 0, Mini-batch: 11 of 45 - Energy: 13057.7446295 Time: 0.408356904984
Epoch: 0, Mini-batch: 12 of 45 - Energy: 13249.7750325 Time: 0.368608951569
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12489.0046003 Time: 0.333270072937
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12505.2140621 Time: 0.341066837311
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12401.0622543 Time: 0.339664936066
Epoch: 0, Mini-batch: 16 of 45 - Energy: 11654.1847481 Time: 0.341049909592
Epoch: 0, Mini-batch: 17 of 45 - Energy: 12176.194666 Time: 0.348653078079
Epoch: 0, Mini-batch: 18 of 45 - Energy: 12691.9028772 Time: 0.340714931488
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11627.7929483 Time: 0.338099002838
Epoch: 0, Mini-batch: 20 of 45 - Energy: 11684.9947835 Time: 0.350663900375
